"Gemeenten";"Werkloosheidspercentage|2003"
"Aa en Hunze";4,2
"Aalsmeer";3,2
"Aalten";3,9
"Achtkarspelen";5,7
"Alblasserdam";4,1
"Albrandswaard";3,5
"Alkmaar";4,5
"Almelo";6,3
"Almere";5,3
"Alphen aan den Rijn";3,8
"Alphen-Chaam";3,5
"Altena";3,5
"Ameland";4,1
"Amersfoort";4,6
"Amstelveen";4,1
"Amsterdam";7,3
"Apeldoorn";4,2
"Arnhem";7,0
"Assen";5,5
"Asten";3,8
"Baarle-Nassau";4,0
"Baarn";4,3
"Barendrecht";3,3
"Barneveld";3,7
"Beek";4,2
"Beekdaelen";4,4
"Beesel";4,4
"Berg en Dal";4,2
"Bergeijk";3,9
"Bergen (L.)";4,0
"Bergen (NH.)";3,6
"Bergen op Zoom";5,2
"Berkelland";3,8
"Bernheze";3,8
"Best";3,9
"Beuningen";4,1
"Beverwijk";4,1
"Bladel";3,7
"Blaricum";4,0
"Bloemendaal";3,6
"Bodegraven-Reeuwijk";3,5
"Boekel";3,3
"Borger-Odoorn";5,0
"Borne";4,0
"Borsele";3,3
"Boxtel";4,1
"Breda";5,2
"Brielle";3,6
"Bronckhorst";3,5
"Brummen";3,9
"Brunssum";6,0
"Bunnik";3,3
"Bunschoten";3,4
"Buren";3,6
"Capelle aan den IJssel";4,9
"Castricum";3,4
"Coevorden";5,1
"Cranendonck";4,0
"Culemborg";4,8
"Dalfsen";3,3
"Dantumadiel";5,4
"De Bilt";3,9
"De Fryske Marren";4,4
"De Ronde Venen";3,4
"De Wolden";3,7
"Delft";5,1
"Den Haag";6,2
"Den Helder";4,7
"Deurne";3,9
"Deventer";5,0
"Diemen";4,7
"Dijk en Waard";3,7
"Dinkelland";3,4
"Doesburg";5,4
"Doetinchem";4,5
"Dongen";3,9
"Dordrecht";6,0
"Drechterland";3,4
"Drimmelen";3,3
"Dronten";4,1
"Druten";4,0
"Duiven";3,8
"Echt-Susteren";4,5
"Edam-Volendam";3,0
"Ede";4,4
"Eemnes";3,7
"Eemsdelta";6,1
"Eersel";3,6
"Eijsden-Margraten";3,9
"Eindhoven";6,0
"Elburg";3,5
"Emmen";5,9
"Enkhuizen";4,2
"Enschede";5,7
"Epe";3,8
"Ermelo";3,7
"Etten-Leur";4,3
"Geertruidenberg";3,8
"Geldrop-Mierlo";4,5
"Gemert-Bakel";3,9
"Gennep";4,3
"Gilze en Rijen";4,0
"Goeree-Overflakkee";3,5
"Goes";4,1
"Goirle";3,7
"Gooise Meren";4,1
"Gorinchem";4,7
"Gouda";5,1
