"Gemeenten";"Huishoudens met inkomen ten minste 1 jaar tot 101% sociaal minimum|2011"
"Aa en Hunze";4,5
"Aalsmeer";3,5
"Aalten";3,9
"Achtkarspelen";5,8
"Alblasserdam";4,4
"Albrandswaard";3,5
"Alkmaar";6,3
"Almelo";7,5
"Almere";7,1
"Alphen aan den Rijn";4,1
"Alphen-Chaam";3,3
"Altena";3,5
"Ameland";4,4
"Amersfoort";5,8
"Amstelveen";5,3
"Amsterdam";13,4
"Apeldoorn";5,3
"Arnhem";10,3
"Assen";6,5
"Asten";4,4
"Baarle-Nassau";4,3
"Baarn";4,7
"Barendrecht";3,2
"Barneveld";3,8
"Beek";4,3
"Beekdaelen";4,2
"Beesel";5,2
"Berg en Dal";4,7
"Bergeijk";3,5
"Bergen (L.)";4,7
"Bergen (NH.)";5,0
"Bergen op Zoom";6,5
"Berkelland";4,1
"Bernheze";3,4
"Best";4,0
"Beuningen";4,4
"Beverwijk";5,9
"Bladel";3,3
"Blaricum";4,4
"Bloemendaal";4,5
"Bodegraven-Reeuwijk";3,1
"Boekel";3,6
"Borger-Odoorn";5,0
"Borne";4,2
"Borsele";3,6
"Boxtel";4,2
"Breda";7,1
"Brielle";4,2
"Bronckhorst";3,9
"Brummen";4,0
"Brunssum";7,3
"Bunnik";2,6
"Bunschoten";2,9
"Buren";3,9
"Capelle aan den IJssel";7,2
"Castricum";2,7
"Coevorden";6,0
"Cranendonck";3,7
"Culemborg";5,1
"Dalfsen";3,1
"Dantumadiel";5,8
"De Bilt";4,2
"De Fryske Marren";5,1
"De Ronde Venen";3,9
"De Wolden";3,7
"Delft";8,5
"Den Haag";11,2
"Den Helder";6,9
"Deurne";4,2
"Deventer";6,5
"Diemen";7,8
"Dijk en Waard";3,9
"Dinkelland";3,7
"Doesburg";7,7
"Doetinchem";5,9
"Dongen";4,0
"Dordrecht";7,9
"Drechterland";3,6
"Drimmelen";2,9
"Dronten";5,7
"Druten";4,3
"Duiven";4,0
"Echt-Susteren";4,7
"Edam-Volendam";3,0
"Ede";5,1
"Eemnes";4,1
"Eemsdelta";6,5
"Eersel";3,2
"Eijsden-Margraten";3,4
"Eindhoven";8,2
"Elburg";3,4
"Emmen";6,8
"Enkhuizen";5,4
"Enschede";9,3
"Epe";4,4
"Ermelo";4,2
"Etten-Leur";4,5
"Geertruidenberg";4,0
"Geldrop-Mierlo";5,3
"Gemert-Bakel";4,6
"Gennep";5,2
"Gilze en Rijen";4,3
"Goeree-Overflakkee";3,7
"Goes";5,6
"Goirle";3,8
"Gooise Meren";4,9
"Gorinchem";6,2
"Gouda";6,1
"Groningen";11,0
"Gulpen-Wittem";4,3
"Haaksbergen";4,3
"Haarlem";6,7
"Haarlemmermeer";4,3
"Halderberge";4,3
"Hardenberg";4,1
"Harderwijk";4,9
"Hardinxveld-Giessendam";2,7
"Harlingen";8,5
"Hattem";2,9
"Heemskerk";4,8
"Heemstede";3,8
"Heerde";2,7
"Heerenveen";6,0
"Heerlen";10,3
"Heeze-Leende";3,3
"Heiloo";3,6
"Hellendoorn";3,8
"Hellevoetsluis";5,4
"Helmond";7,6
"Hendrik-Ido-Ambacht";3,1
"Hengelo";6,6
"Het Hogeland";5,7
"Heumen";4,1
"Heusden";4,2
"Hillegom";3,8
"Hilvarenbeek";3,5
"Hilversum";6,7
"Hoeksche Waard";3,3
"Hof van Twente";4,5
"Hollands Kroon";4,5
"Hoogeveen";5,7
"Hoorn";5,9
"Horst aan de Maas";4,1
"Houten";3,0
"Huizen";5,5
"Hulst";4,8
"IJsselstein";4,3
"Kaag en Braassem";3,1
"Kampen";4,8
"Kapelle";3,1
"Katwijk";4,0
"Kerkrade";8,6
"Koggenland";3,4
"Krimpen aan den IJssel";4,2
"Krimpenerwaard";3,6
"Laarbeek";3,6
"Land van Cuijk";4,2
"Landgraaf";6,8
"Landsmeer";3,3
"Lansingerland";3,4
"Laren";5,8
"Leeuwarden";8,6
"Leiden";7,9
"Leiderdorp";3,8
"Leidschendam-Voorburg";5,6
"Lelystad";7,7
"Leudal";3,7
"Leusden";3,0
