"Gemeenten";"Bevolking totaal|1988";"Bevolking totaal|1989";"Bevolking totaal|1990";"Bevolking totaal|1991";"Bevolking totaal|1992";"Bevolking totaal|1993";"Bevolking totaal|1994";"Bevolking totaal|1995";"Bevolking totaal|1996";"Bevolking totaal|1997";"Bevolking totaal|1998";"Bevolking totaal|1999";"Bevolking totaal|2000";"Bevolking totaal|2001";"Bevolking totaal|2002";"Bevolking totaal|2003";"Bevolking totaal|2004";"Bevolking totaal|2005";"Bevolking totaal|2006";"Bevolking totaal|2007";"Bevolking totaal|2008";"Bevolking totaal|2009";"Bevolking totaal|2010";"Bevolking totaal|2011";"Bevolking totaal|2012";"Bevolking totaal|2013";"Bevolking totaal|2014";"Bevolking totaal|2015";"Bevolking totaal|2016";"Bevolking totaal|2017";"Bevolking totaal|2018";"Bevolking totaal|2019";"Bevolking totaal|2020";"Bevolking totaal|2021";"Bevolking totaal|2022"
"Aa en Hunze";23327;23467;23570;23647;23764;24050;24327;24496;24561;24520;24806;24751;24824;25208;25552;25305;25218;25329;25507;25563;25598;25675;25563;25785;25738;25541;25357;25203;25243;25286;25390;25386;25445;25343;25579
"Aalsmeer";21623;21836;22052;22080;22003;21884;21788;21875;22070;22168;22482;22396;22344;22544;22786;22839;22915;23296;24145;25019;26386;28006;29187;30189;30364;30618;30759;31077;31299;31373;31499;31728;31859;30457;32452
"Aalten";26195;26335;26337;26421;26680;26757;26777;26984;27229;27285;27449;27318;27330;27338;27383;27437;27567;27446;27476;27570;27568;27447;27500;27439;27305;27082;27013;26904;26912;27047;26962;27011;27121;26906;27100
"Achtkarspelen";27591;27687;27750;27841;27806;27762;27923;27971;27988;28040;28085;28047;28011;28013;28045;28102;28156;28134;28223;28143;28088;28139;28088;28123;28091;28110;28016;27983;28007;27893;27935;27852;27843;27946;27954
"Alblasserdam";17183;17391;17382;17468;17503;17604;17648;17646;17656;17782;17800;18036;18183;18410;18388;18425;18386;18356;18426;18666;18718;18839;19014;19208;19467;19643;19801;19845;19955;20008;20014;20069;20165;18567;20087
"Albrandswaard";13799;13785;13913;14121;14181;14350;14920;15141;15325;15249;15395;15805;16420;17721;18092;18737;19607;20606;21059;21523;22453;22974;24191;24674;25003;25101;25069;25148;24985;25105;25218;25271;25590;24424;25934
"Alkmaar";98739;99331;100258;101401;102427;103299;103946;104089;104194;104140;104107;104053;104050;104326;104269;104584;105507;105681;105929;105904;105722;105205;105710;105778;106161;106435;106857;107106;107615;108373;108470;108558;109436;106792;110783
"Almelo";65435;65337;65542;66045;66759;67368;67965;68434;68646;68660;69077;69552;69746;70416;71026;71729;72227;72293;72048;72096;72287;72428;72602;72599;72757;72729;72459;72291;72425;72479;72629;72849;73107;72095;73155
"Almere";57195;63785;71086;78100;84909;91689;98444;104541;112704;118913;126720;136157;142765;150398;158902;165106;170704;175007;178466;180924;183270;185746;188160;190655;193163;195213;196013;196932;198145;200914;203990;207904;211893;196388;217828
"Alphen aan den Rijn";92264;93767;95384;96814;98027;99505;100479;101435;101918;102145;102947;103781;104352;104468;105022;104947;104688;104773;105129;105094;105579;106007;106171;106190;106558;106685;106785;107396;107960;108915;109682;110986;111897;100799;112926
"Alphen-Chaam";9085;9071;9092;9135;9159;9198;9275;9394;9423;9343;9385;9385;9460;9486;9447;9413;9414;9513;9491;9461;9455;9421;9436;9466;9525;9640;9717;9753;9924;10058;10083;10149;10203;9757;10425
"Altena";48266;48676;48943;49222;49471;49821;50055;50381;50459;50825;51109;51549;51782;52312;52631;52879;52884;53086;53133;53140;53222;53343;53415;53461;53588;53622;53658;53762;54083;54450;54766;55386;55967;53528;57009
"Ameland";3171;3148;3173;3227;3243;3289;3331;3374;3413;3422;3446;3477;3488;3545;3564;3576;3525;3520;3475;3460;3456;3466;3501;3503;3526;3525;3578;3590;3611;3633;3654;3673;3716;3578;3757
"Amersfoort";93867;96424;99756;102328;104746;107282;110478;112752;115251;118298;120512;123367;126143;128035;129720;131221;132851;134906;136999;139054;141211;143212;144862;146592;148250;149662;150897;152481;153602;154337;155226;156286;157276;151543;158590
