"Gemeenten";"Gemeenteraad - Opkomst|1990";"Gemeenteraad - Opkomst|1994";"Gemeenteraad - Opkomst|1998"
"Aa en Hunze";74,8;74,8;59,7
"Aalsmeer";64,5;63,0;58,8
"Aalten";70,8;70,9;66,6
"Achtkarspelen";74,0;70,6;65,8
"Alblasserdam";67,5;69,9;63,6
"Albrandswaard";66,6;69,2;64,9
"Alkmaar";56,9;61,8;56,1
"Almelo";61,1;62,6;57,9
"Almere";54,1;61,1;50,8
"Alphen aan den Rijn";62,4;64,0;60,3
"Alphen-Chaam";78,2;76,4;71,3
"Altena";71,6;72,0;64,5
"Ameland";93,1;91,3;89,2
"Amersfoort";55,9;61,7;54,8
"Amstelveen";62,9;68,0;59,3
"Amsterdam";51,3;57,7;48,2
"Apeldoorn";61,4;62,0;55,3
"Arnhem";53,7;57,4;51,3
"Assen";65,3;71,1;66,0
"Asten";76,7;76,9;74,0
"Baarle-Nassau";73,7;73,2;66,6
"Baarn";64,8;66,2;61,1
"Barendrecht";71,3;72,6;65,1
"Barneveld";74,5;78,2;73,3
"Beek";76,5;77,0;69,6
"Beekdaelen";83,3;81,5;75,8
"Beesel";68,0;65,1;62,1
"Berg en Dal";68,5;69,1;64,5
"Bergeijk";79,3;76,0;65,5
"Bergen (L.)";68,0;66,9;61,4
"Bergen (NH.)";68,3;69,6;66,3
"Bergen op Zoom";59,5;65,3;46,6
"Berkelland";75,2;74,3;69,3
"Bernheze";69,8;61,3;65,0
"Best";63,1;67,0;62,6
"Beuningen";54,8;58,7;55,3
"Beverwijk";55,0;61,8;56,4
"Bladel";66,1;66,0;55,9
"Blaricum";68,5;72,6;67,0
"Bloemendaal";73,2;72,2;72,7
"Bodegraven-Reeuwijk";69,8;71,8;69,0
"Boekel";71,0;71,3;68,9
"Borger-Odoorn";69,4;69,7;55,0
"Borne";73,0;68,0;64,9
"Borsele";70,3;67,2;61,6
"Boxtel";66,4;68,8;59,6
"Breda";53,1;59,0;38,3
"Brielle";62,8;62,0;56,5
"Bronckhorst";72,0;73,1;68,7
"Brummen";67,4;66,0;62,1
"Brunssum";73,1;72,0;69,0
"Bunnik";73,1;74,2;70,6
"Bunschoten";80,6;79,7;74,2
"Buren";71,0;70,6;"-"
"Capelle aan den IJssel";52,5;58,0;54,9
"Castricum";70,0;73,2;71,0
"Coevorden";71,8;72,0;57,3
"Cranendonck";70,4;70,4;57,8
"Culemborg";55,7;62,7;59,8
"Dalfsen";76,9;77,2;62,7
"Dantumadiel";71,9;70,4;64,2
"De Bilt";72,6;72,4;71,0
"De Fryske Marren";71,5;72,8;66,4
"De Ronde Venen";66,6;67,2;63,1
"De Wolden";75,7;77,4;66,5
"Delft";55,8;64,7;58,9
"Den Haag";50,0;58,0;48,4
"Den Helder";53,2;54,2;51,9
"Deurne";64,6;64,1;62,4
"Deventer";63,5;66,8;71,8
"Diemen";58,0;63,3;54,1
"Dijk en Waard";58,9;66,1;58,6
"Dinkelland";79,4;79,4;75,9
"Doesburg";62,7;68,5;65,4
"Doetinchem";61,0;62,7;57,5
"Dongen";65,8;67,8;50,5
"Dordrecht";51,9;60,8;52,2
"Drechterland";70,0;71,0;67,6
"Drimmelen";68,8;70,8;55,8
"Dronten";66,5;66,1;63,1
"Druten";63,1;64,2;62,3
"Duiven";65,7;63,0;58,9
"Echt-Susteren";80,8;80,6;75,7
"Edam-Volendam";71,6;72,4;66,4
"Ede";69,0;69,8;67,3
"Eemnes";76,0;76,2;69,7
"Eemsdelta";60,7;65,2;62,8
"Eersel";71,7;72,0;57,6
"Eijsden-Margraten";77,3;82,7;78,6
"Eindhoven";46,0;55,6;47,9
"Elburg";74,6;73,8;71,7
"Emmen";63,6;62,9;50,3
"Enkhuizen";69,2;69,9;64,0
"Enschede";54,7;58,7;52,9
"Epe";71,5;71,2;64,5
"Ermelo";68,1;70,0;67,8
"Etten-Leur";60,0;60,5;52,7
"Geertruidenberg";62,2;61,6;46,6
"Geldrop-Mierlo";64,6;66,5;60,0
"Gemert-Bakel";67,0;68,2;55,3
"Gennep";62,6;63,8;57,3
"Gilze en Rijen";65,3;71,9;61,8
"Goeree-Overflakkee";73,0;72,1;70,3
"Goes";60,4;63,4;56,0
"Goirle";63,8;69,5;54,2
