"Gemeenten";"Besteedbaar inkomen per huishouden|2011";"Besteedbaar inkomen per huishouden|2012";"Besteedbaar inkomen per huishouden|2013";"Besteedbaar inkomen per huishouden|2014";"Besteedbaar inkomen per huishouden|2015"
"Aa en Hunze";38,4;39,0;39,3;41,8;41,7
"Aalsmeer";44,4;45,5;45,0;48,9;47,2
"Aalten";36,4;36,6;36,6;39,0;38,2
"Achtkarspelen";33,5;33,4;33,6;35,0;35,1
"Alblasserdam";38,2;39,2;38,7;41,1;40,5
"Albrandswaard";46,7;46,3;47,8;50,0;48,2
"Alkmaar";35,5;35,5;35,7;37,4;37,5
"Almelo";33,1;33,3;33,3;35,1;34,7
"Almere";37,6;37,2;37,7;39,2;39,6
"Alphen aan den Rijn";40,5;40,6;40,8;42,4;42,2
"Alphen-Chaam";"?";"?";44,9;"?";45,9
"Altena";42,4;42,2;42,0;44,5;43,8
"Ameland";"?";"?";"?";"?";"?"
"Amersfoort";38,9;39,1;39,3;41,5;41,2
"Amstelveen";41,2;41,7;41,6;44,0;43,6
"Amsterdam";31,7;32,1;32,6;34,6;35,0
"Apeldoorn";37,6;37,8;38,0;39,8;39,0
"Arnhem";30,9;31,0;31,4;32,7;32,8
"Assen";34,4;34,3;34,7;36,3;36,2
"Asten";39,8;39,5;39,4;42,4;41,1
"Baarle-Nassau";"?";"?";"?";"?";"?"
"Baarn";41,6;42,6;42,7;46,2;45,8
"Barendrecht";44,8;45,1;45,6;49,0;47,9
"Barneveld";41,8;41,7;41,8;45,3;43,2
"Beek";38,2;38,5;38,5;40,5;40,4
"Beekdaelen";38,3;38,5;38,8;40,5;40,7
"Beesel";35,8;36,3;36,1;38,3;"?"
"Berg en Dal";37,3;37,4;37,6;39,5;39,1
"Bergeijk";42,0;42,0;42,5;45,1;44,4
"Bergen (L.)";36,9;37,6;37,1;39,6;39,0
"Bergen (NH.)";45,0;45,0;46,3;50,1;48,7
"Bergen op Zoom";35,8;36,0;36,2;38,2;39,1
"Berkelland";37,6;38,0;37,8;39,6;38,9
"Bernheze";42,7;43,0;42,9;45,4;44,6
"Best";42,3;43,3;44,0;45,0;44,7
"Beuningen";40,7;40,8;40,8;43,4;42,1
"Beverwijk";35,1;35,0;35,2;37,0;36,9
"Bladel";40,6;41,2;42,0;43,4;42,3
"Blaricum";"?";"?";"?";"?";"?"
"Bloemendaal";"?";"?";"?";"?";"?"
"Bodegraven-Reeuwijk";45,8;45,3;44,7;50,3;46,8
"Boekel";"?";"?";"?";"?";"?"
"Borger-Odoorn";36,3;36,5;36,4;38,3;38,1
"Borne";39,1;39,3;39,3;42,1;41,4
"Borsele";39,6;39,9;39,7;42,1;41,4
"Boxtel";39,1;39,6;39,6;41,6;41,4
"Breda";36,0;36,1;36,4;38,8;38,6
"Brielle";41,4;42,0;42,2;44,5;44,0
"Bronckhorst";43,1;42,2;41,4;44,2;42,4
"Brummen";38,8;39,0;39,0;41,4;40,6
"Brunssum";31,7;31,8;32,4;33,5;33,7
