"Gemeenten";"Totaal misdrijven|2012"
"Aa en Hunze";925
"Aalsmeer";1194
"Aalten";694
"Achtkarspelen";783
"Alblasserdam";843
"Albrandswaard";1191
"Alkmaar";8891
"Almelo";5185
"Almere";14242
"Alphen aan den Rijn";5905
"Alphen-Chaam";562
"Altena";2117
"Ameland";182
"Amersfoort";10460
"Amstelveen";4998
"Amsterdam";100370
"Apeldoorn";11544
"Arnhem";14895
"Assen";4888
"Asten";884
"Baarle-Nassau";369
"Baarn";1497
"Barendrecht";2319
"Barneveld";2321
"Beek";1214
"Beekdaelen";1829
"Beesel";676
"Berg en Dal";1456
"Bergeijk";983
"Bergen (L.)";471
"Bergen (NH.)";1525
"Bergen op Zoom";4948
"Berkelland";1782
"Bernheze";1278
"Best";1567
"Beuningen";1184
"Beverwijk";3148
"Bladel";891
"Blaricum";510
"Bloemendaal";1462
"Bodegraven-Reeuwijk";1818
"Boekel";358
"Borger-Odoorn";797
"Borne";705
"Borsele";555
"Boxtel";1963
"Breda";16908
"Brielle";905
"Bronckhorst";1026
"Brummen";996
"Brunssum";2003
"Bunnik";786
"Bunschoten";775
"Buren";878
"Capelle aan den IJssel";4828
"Castricum";1661
"Coevorden";1797
"Cranendonck";997
"Culemborg";2056
"Dalfsen";680
"Dantumadiel";446
"De Bilt";2031
"De Fryske Marren";1792
"De Ronde Venen";1978
"De Wolden";608
"Delft";7920
"Den Haag";52704
"Den Helder";3942
"Deurne";1709
"Deventer";6959
"Diemen";1691
"Dijk en Waard";4657
"Dinkelland";759
"Doesburg";568
"Doetinchem";3223
"Dongen";1169
"Dordrecht";10264
"Drechterland";738
"Drimmelen";1135
"Dronten";2381
"Druten";692
"Duiven";1287
"Echt-Susteren";1819
"Edam-Volendam";1238
"Ede";6101
"Eemnes";342
"Eemsdelta";1974
"Eersel";960
"Eijsden-Margraten";1073
"Eindhoven";25609
"Elburg";794
"Emmen";6333
"Enkhuizen";1432
"Enschede";14292
"Epe";1585
"Ermelo";1376
"Etten-Leur";2618
"Geertruidenberg";1113
"Geldrop-Mierlo";2032
"Gemert-Bakel";1413
"Gennep";863
"Gilze en Rijen";1488
"Goeree-Overflakkee";1840
"Goes";2566
"Goirle";1040
"Gooise Meren";3916
"Gorinchem";2462
"Gouda";6408
"Groningen";19149
"Gulpen-Wittem";655
"Haaksbergen";982
"Haarlem";11366
"Haarlemmermeer";9862
"Halderberge";1650
"Hardenberg";2448
"Harderwijk";2639
"Hardinxveld-Giessendam";593
"Harlingen";768
"Hattem";446
"Heemskerk";1824
"Heemstede";1435
"Heerde";674
"Heerenveen";2525
"Heerlen";8308
"Heeze-Leende";705
"Heiloo";996
"Hellendoorn";1150
"Hellevoetsluis";2111
"Helmond";7150
"Hendrik-Ido-Ambacht";1057
"Hengelo";5432
"Het Hogeland";1522
"Heumen";788
"Heusden";1837
"Hillegom";1279
"Hilvarenbeek";690
"Hilversum";6827
"Hoeksche Waard";2943
"Hof van Twente";1313
"Hollands Kroon";1547
"Hoogeveen";3443
"Hoorn";5461
"Horst aan de Maas";1813
"Houten";1994
"Huizen";2187
"Hulst";1043
"IJsselstein";1538
"Kaag en Braassem";1049
"Kampen";1994
"Kapelle";400
"Katwijk";2478
"Kerkrade";3774
"Koggenland";916
